province_name_fcm,province_name_geojson,status
ACEH,Aceh,OK (titlecase)
BALI,Bali,OK (titlecase)
BANGKA BELITUNG,Kepulauan Bangka Belitung,OK (special)
BANTEN,Banten,OK (titlecase)
BENGKULU,Bengkulu,OK (titlecase)
DI YOGYAKARTA,Daerah Istimewa Yogyakarta,OK (special)
DKI JAKARTA,DKI Jakarta,OK (special)
GORONTALO,Gorontalo,OK (titlecase)
JAMBI,Jambi,OK (titlecase)
JAWA BARAT,Jawa Barat,OK (titlecase)
JAWA TENGAH,Jawa Tengah,OK (titlecase)
JAWA TIMUR,Jawa Timur,OK (titlecase)
KALIMANTAN BARAT,Kalimantan Barat,OK (titlecase)
KALIMANTAN SELATAN,Kalimantan Selatan,OK (titlecase)
KALIMANTAN TENGAH,Kalimantan Tengah,OK (titlecase)
KALIMANTAN TIMUR,Kalimantan Timur,OK (titlecase)
KALIMANTAN UTARA,Kalimantan Utara,OK (titlecase)
KEPULAUAN RIAU,Kepulauan Riau,OK (titlecase)
LAMPUNG,Lampung,OK (titlecase)
MALUKU,Maluku,OK (titlecase)
MALUKU UTARA,Maluku Utara,OK (titlecase)
NUSA TENGGARA BARAT,Nusa Tenggara Barat,OK (titlecase)
NUSA TENGGARA TIMUR,Nusa Tenggara Timur,OK (titlecase)
PAPUA,Papua,OK (titlecase)
PAPUA BARAT,Papua Barat,OK (titlecase)
PAPUA BARAT DAYA,Papua Barat Daya,OK (titlecase)
PAPUA SELATAN,Papua Selatan,OK (titlecase)
RIAU,Riau,OK (titlecase)
SULAWESI BARAT,Sulawesi Barat,OK (titlecase)
SULAWESI SELATAN,Sulawesi Selatan,OK (titlecase)
SULAWESI TENGAH,Sulawesi Tengah,OK (titlecase)
SULAWESI TENGGARA,Sulawesi Tenggara,OK (titlecase)
SULAWESI UTARA,Sulawesi Utara,OK (titlecase)
SUMATERA BARAT,Sumatera Barat,OK (titlecase)
SUMATERA SELATAN,Sumatera Selatan,OK (titlecase)
SUMATERA UTARA,Sumatera Utara,OK (titlecase)
