province_name,maternal_age_risk_pct,low_knowledge_pct,water_no_or_unimproved_pct,water_limited_pct,sanitation_babs_pct,sanitation_unimproved_pct,stunting_prevalence_pct
ACEH,9.4000,99.7000,8.0000,1.2000,6.2000,5.2000,28.6000
BALI,12.5000,99.7000,1.6000,2.0000,0.6000,2.6000,8.6000
BANGKA BELITUNG,13.0000,99.6000,17.5000,0.7000,1.2000,1.9000,20.1000
BANTEN,10.8000,99.6000,3.0000,0.7000,6.4000,3.9000,21.1000
BENGKULU,13.3000,99.5000,9.8000,0.4000,3.3000,3.0000,18.8000
DI YOGYAKARTA,9.6000,97.8000,4.4000,0.3000,2.2000,1.6000,17.4000
DKI JAKARTA,9.4000,99.3000,0.5000,0.1000,9.2000,3.1000,17.2000
GORONTALO,17.4000,100.0000,10.9000,3.5000,4.6000,10.4000,23.9000
JAMBI,11.4000,98.6000,7.3000,1.3000,4.9000,4.3000,17.1000
JAWA BARAT,12.4000,98.9000,4.1000,2.8000,15.0000,5.0000,15.9000
JAWA TENGAH,11.0000,91.8000,5.1000,1.0000,6.0000,4.3000,17.0000
JAWA TIMUR,13.1000,98.9000,2.0000,2.2000,4.8000,4.2000,14.7000
KALIMANTAN BARAT,16.7000,98.7000,13.7000,2.9000,4.6000,8.1000,26.8000
KALIMANTAN SELATAN,14.1000,99.2000,15.5000,0.5000,8.0000,6.5000,22.9000
KALIMANTAN TENGAH,16.9000,99.0000,16.1000,3.4000,10.6000,4.9000,22.1000
KALIMANTAN TIMUR,12.5000,99.5000,9.5000,1.5000,5.2000,1.0000,22.3000
KALIMANTAN UTARA,16.0000,99.7000,11.4000,2.8000,9.3000,2.2000,17.6000
KEPULAUAN RIAU,10.3000,99.8000,2.9000,4.0000,5.5000,0.5000,15.0000
LAMPUNG,12.0000,99.6000,6.0000,3.0000,2.6000,1.4000,15.9000
MALUKU,17.9000,99.9000,3.7000,7.1000,4.2000,6.6000,28.3000
MALUKU UTARA,20.0000,99.9000,18.8000,4.7000,2.1000,12.4000,23.2000
NUSA TENGGARA BARAT,16.0000,99.7000,4.0000,1.6000,5.2000,7.9000,29.8000
NUSA TENGGARA TIMUR,15.2000,99.1000,14.9000,12.5000,3.8000,27.9000,37.0000
PAPUA,18.1000,96.1000,8.5000,3.1000,8.4000,3.8000,24.7000
PAPUA BARAT,18.6000,99.5000,11.9000,3.5000,5.9000,5.3000,24.7000
PAPUA BARAT DAYA,19.3000,99.7000,25.5000,7.2000,7.1000,10.2000,30.5000
PAPUA SELATAN,19.6000,99.5000,26.8000,5.9000,15.8000,15.2000,25.7000
RIAU,11.3000,98.4000,5.9000,1.8000,6.4000,6.4000,20.1000
SULAWESI BARAT,18.7000,99.7000,12.8000,7.8000,4.4000,10.2000,35.4000
SULAWESI SELATAN,15.8000,99.7000,5.7000,4.3000,1.3000,6.3000,23.2000
SULAWESI TENGAH,16.7000,99.7000,5.0000,6.8000,6.4000,8.3000,26.1000
SULAWESI TENGGARA,16.1000,99.7000,6.8000,11.7000,3.9000,10.9000,26.1000
SULAWESI UTARA,19.4000,98.7000,5.8000,2.7000,1.9000,4.1000,20.8000
SUMATERA BARAT,9.9000,99.7000,9.6000,2.4000,20.5000,6.0000,24.9000
SUMATERA SELATAN,13.3000,99.7000,8.5000,0.3000,5.2000,2.6000,15.8000
SUMATERA UTARA,10.3000,99.5000,7.2000,2.2000,8.2000,4.1000,22.0000
