province_name,knowledge_attitude_high_pct,low_knowledge_pct
Aceh,0.3,99.7
Sumatera Utara,0.5,99.5
Sumatera Barat,0.3,99.7
Riau,1.6,98.4
Jambi,1.4,98.6
Sumatera Selatan,0.3,99.7
Bengkulu,0.5,99.5
Lampung,0.4,99.6
Kep.Bangka Belitung,0.4,99.6
Kepulauan Riau,0.2,99.8
DKI Jakarta,0.7,99.3
Jawa Barat,1.1,98.9
Jawa Tengah,8.2,91.8
DI Yogyakarta,2.2,97.8
Jawa Timur,1.1,98.9
Banten,0.4,99.6
Bali,0.3,99.7
Nusa Tenggara Barat,0.3,99.7
Nusa Tenggara Timur,0.9,99.1
Kalimantan Barat,1.3,98.7
Kalimantan Tengah,1.0,99.0
Kalimantan Selatan,0.8,99.2
Kalimantan Timur,0.5,99.5
Kalimantan Utara,0.3,99.7
Sulawesi Utara,1.3,98.7
Sulawesi Tengah,0.3,99.7
Sulawesi Selatan,0.3,99.7
Sulawesi Tenggara,0.3,99.7
Gorontalo,0.0,100.0
Sulawesi Barat,0.3,99.7
Maluku,0.1,99.9
Maluku Utara,0.1,99.9
Papua Barat,0.5,99.5
Papua Barat Daya,0.3,99.7
Papua,3.9,96.1
Papua Selatan,0.5,99.5
Indonesia,1.7,98.3
