province_name,membership_cluster_1,membership_cluster_2,maximum_membership,second_highest_membership,membership_margin,crisp_cluster
ACEH,0.986404,0.013596,0.986404,0.013596,0.972807,1
BALI,0.942536,0.057464,0.942536,0.057464,0.885071,1
BANGKA BELITUNG,0.767231,0.232769,0.767231,0.232769,0.534462,1
BANTEN,0.993756,0.006244,0.993756,0.006244,0.987512,1
BENGKULU,0.975360,0.024640,0.975360,0.024640,0.950719,1
DI YOGYAKARTA,0.967097,0.032903,0.967097,0.032903,0.934194,1
DKI JAKARTA,0.970648,0.029352,0.970648,0.029352,0.941295,1
GORONTALO,0.033239,0.966761,0.966761,0.033239,0.933522,2
JAMBI,0.998751,0.001249,0.998751,0.001249,0.997503,1
JAWA BARAT,0.817660,0.182340,0.817660,0.182340,0.635320,1
JAWA TENGAH,0.665725,0.334275,0.665725,0.334275,0.331451,1
JAWA TIMUR,0.990129,0.009871,0.990129,0.009871,0.980257,1
KALIMANTAN BARAT,0.094740,0.905260,0.905260,0.094740,0.810520,2
KALIMANTAN SELATAN,0.711392,0.288608,0.711392,0.288608,0.422783,1
KALIMANTAN TENGAH,0.211278,0.788722,0.788722,0.211278,0.577444,2
KALIMANTAN TIMUR,0.991441,0.008559,0.991441,0.008559,0.982883,1
KALIMANTAN UTARA,0.658784,0.341216,0.658784,0.341216,0.317569,1
KEPULAUAN RIAU,0.966640,0.033360,0.966640,0.033360,0.933280,1
LAMPUNG,0.976376,0.023624,0.976376,0.023624,0.952752,1
MALUKU,0.166920,0.833080,0.833080,0.166920,0.666160,2
MALUKU UTARA,0.041998,0.958002,0.958002,0.041998,0.916003,2
NUSA TENGGARA BARAT,0.773541,0.226459,0.773541,0.226459,0.547082,1
NUSA TENGGARA TIMUR,0.200314,0.799686,0.799686,0.200314,0.599371,2
PAPUA,0.508069,0.491931,0.508069,0.491931,0.016138,1
PAPUA BARAT,0.082145,0.917855,0.917855,0.082145,0.835709,2
PAPUA BARAT DAYA,0.062377,0.937623,0.937623,0.062377,0.875245,2
PAPUA SELATAN,0.159583,0.840417,0.840417,0.159583,0.680834,2
RIAU,0.993858,0.006142,0.993858,0.006142,0.987716,1
SULAWESI BARAT,0.007240,0.992760,0.992760,0.007240,0.985520,2
SULAWESI SELATAN,0.502045,0.497955,0.502045,0.497955,0.004089,1
SULAWESI TENGAH,0.106104,0.893896,0.893896,0.106104,0.787791,2
SULAWESI TENGGARA,0.126263,0.873737,0.873737,0.126263,0.747474,2
SULAWESI UTARA,0.440919,0.559081,0.559081,0.440919,0.118163,2
SUMATERA BARAT,0.672662,0.327338,0.672662,0.327338,0.345325,1
SUMATERA SELATAN,0.989698,0.010302,0.989698,0.010302,0.979396,1
SUMATERA UTARA,0.991365,0.008635,0.991365,0.008635,0.982730,1
